Question,Answer,clean_question
Release Date? Any one have a release date for these yet? Not sure if I want to order them and have to wait for four months. I plan on getting them just not sure if I wanna throw all that money out so soon for something that may not show within a month or so. Release Date? Any one have a release date for these yet? Not sure if I want to order them and have to wait for four months. I plan on getting them just not sure if I wanna throw all that money out... » Read More Release Date? Any one have a release date for these yet? Not sure if I want to order them and have to wait for four months. I plan on getting them just not sure if I wanna throw all that money out so soon for something that may not show within a month or so. « Show Less,Try right now. :) Just pick the seller as Creative Labs instead of Amazon. They are in stock and shipping!,release date any one have a release date for these yet not sure if i want to order them and have to wait for four months i plan on getting them just not sure if i wanna throw all that money out so soon for something that may not show within a month or so release date any one have a release date for these yet not sure if i want to order them and have to wait for four months i plan on getting them just not sure if i wanna throw all that money out read more release date any one have a release date for these yet not sure if i want to order them and have to wait for four months i plan on getting them just not sure if i wanna throw all that money out so soon for something that may not show within a month or so show less
Is this cream good for evening out skin tone and helping to fade or get rid of blemishes/marks from old/New acne?,I've heard it's doing it but honestly I haven't personally experienced much difference. It does help with marks and evening out skin tone but it won't be noticable quickly. U might need to use it for a month before you see the small difference. I am basing it on my experience.,is this cream good for evening out skin tone and helping to fade or get rid of blemishesmarks from oldnew acne
Have you tried to lock down the basket with Yakima locking brackets or what methods have you tried to lock the brackets to the cross bars?,"Yes, I have connected the brackets to the cross bars but I had to remove what looked like ""spacer"" and just use the brackets. That's been over a month or so and the rack is still up there. Thank you Lord!",have you tried to lock down the basket with yakima locking brackets or what methods have you tried to lock the brackets to the cross bars
"Is it easy to get the ipad air out of this case, I will switching back and forth to a folio/keyboard. I need this case for the classroom","Very easy it just clips off in a few seconds and then back in as per requirements, however over time the clips might wear on any cover that you constantly do this with. Why could you not just leave it in the case and use a blue tooth keyboard wen required.That way the item is always protected from any accidental spills or drops at all times?",is it easy to get the ipad air out of this case i will switching back and forth to a foliokeyboard i need this case for the classroom
Does it come with any sheath?,Yes it comes with a simple leather sheath that has a design imprinted on one side and cutouts on the other side to feed a belt through. There is a small strap with a buckle to keep the ax in place. Its nothing fancy but it does the job.,does it come with any sheath
"Can the Sonos be run by an app using Kindle Fire? If not, has anyone figured out a clever way to run the Sonos from a Kindle Fire? How?","Absolutely yes. I run Sonos from my Kindle Fire as well as my laptop. Go to Amazon and search ""sonos app for kindle fire"". It's a free download.",can the sonos be run by an app using kindle fire if not has anyone figured out a clever way to run the sonos from a kindle fire how
"Can anyone tell me the actual measurements of the quilt, ie.: width and length? I just bought a new mattress and my old quilt is now too small.","I am v sick today so I don't have the energy to measure...But what I can tell you is that it fits beautifully on my new queen side bed. I was concerned about how it would hang on the side, but I felt is was v generous. I couldn't be happier with this product...color,texture, & size are ideal.",can anyone tell me the actual measurements of the quilt ie width and length i just bought a new mattress and my old quilt is now too small
What actually comes in the box? I may need to order extra video cables and couplers but want to know what's included first.,"I ordered this for my house and I have someone coming to put it up for me. It comes with cables but you may need extra depending on the lenght you require. The description should have the lenght on it. I havent picked up my box yet form the mailbox so I am not sure of the lenght. Also, I am not sure what couplers are but I assume the description would have it also . Good luck.",what actually comes in the box i may need to order extra video cables and couplers but want to know whats included first
Will it help bowls or plates from sliding around?,"If the plates had a rubber base, it might. Otherwise it is just to keep you childs eating free from other people's germs and make clean-u[ easier if you are in a restaurant.",will it help bowls or plates from sliding around
what is the manufacturing year,I could not find a date on the machine or in the Operating Instructions. Web site http://www.panasonic.com/contaactinfo or 1-800-211-7262 Model No RQ-2102,what is the manufacturing year
"Does anyone notice any sort of ""AF lag"" when using this filter? I have experienced this with some of the cheaper brands.","I've noticed absolutely no difference in autofocus time. Also, the glass appears so much more clear to me than the cheaper brands. I'm guessing that's partially due to the coatings they use. Anyway, you should be very pleased.",does anyone notice any sort of af lag when using this filter i have experienced this with some of the cheaper brands
what is the middle drawer's functionality? Does it front release to make it a keyboard tray?,"Yep, keyboard. This is a very heavy simulated wood desk. But I kinda like it. Enjoy",what is the middle drawers functionality does it front release to make it a keyboard tray
"Can you easily tell it's on when you touch it? I just received mine today, it's been on for a few hours, and it doesn't feel warm to me!",It should be warm in minutes. Mine were. But they don't get too hot to touch.,can you easily tell its on when you touch it i just received mine today its been on for a few hours and it doesnt feel warm to me
"I want to buy 2 of these for my garage. I don't want to wash them in my machine, I'd rather hose them down on the concrete. What are the washing instructions? And would hosing them down suffice? thanks! I want to buy 2 of these for my garage. I don't want to wash them in my machine, I'd rather hose them down on the concrete. What are the washing instructions? And would hosing them down... » Read More I want to buy 2 of these for my garage. I don't want to wash them in my machine, I'd rather hose them down on the concrete. What are the washing instructions? And would hosing them down suffice? thanks! « Show Less",I am sure hosing them off would suffice for your intended use. We have 3 mats and use them inside at door areas. We are very satisfied with their performance .,i want to buy 2 of these for my garage i dont want to wash them in my machine id rather hose them down on the concrete what are the washing instructions and would hosing them down suffice thanks i want to buy 2 of these for my garage i dont want to wash them in my machine id rather hose them down on the concrete what are the washing instructions and would hosing them down read more i want to buy 2 of these for my garage i dont want to wash them in my machine id rather hose them down on the concrete what are the washing instructions and would hosing them down suffice thanks show less
"can i remove or disassemble the picatiny mount, planning to mount on a glock?",Absolutely. It comes in 2 pieces. The actual red dot and the pictiny mount. I mounted it on a S&W; CORE.,can i remove or disassemble the picatiny mount planning to mount on a glock
how do i resize the photo?,"I am not sure about how to resize the photo. On my mac, iPhoto helps me though the process. I just started to do this kind of thing myself.So, I am not to good with all of this yet.",how do i resize the photo
it says on container not to apply to skin?,It is a solvent and can be used as a delivery system for other medications. It's been used for over a hundred years as a folk remedy and many people swear by it. But it has not been approved by the FDA for topical use. Here's the Wikipedia page:http://en.wikipedia.org/wiki/Dimethyl_sulfoxide,it says on container not to apply to skin
Just wonder if this is made in US or a China product? Or made in any other country?,"looks and works great.couldnt tell where its made,but the best ive used.heats up fast.the tips are only weak link.",just wonder if this is made in us or a china product or made in any other country
"If I placed an order for these 10 pc switches, is there any way I could get 5 blue led switches, &amp; 5 green led switches instead of all 10 the same?","yes, but you will need to contact me after the purchase to comfirm what you need",if i placed an order for these 10 pc switches is there any way i could get 5 blue led switches amp 5 green led switches instead of all 10 the same
Is this a single pump or multiple pumps per shot,"My first rifle and best coolest one I have the sights are awesome! Look and feel of this gun is great too!!Multiple pump not more than 10 but 3 to 10 would do.0.177"" (4.5mm), 660.0 fps, Synthetic, Ambi, Black3-10 pumps, 18-rd BB mag & 5-rd pellet mag660 fps/BBs, 625 fps/pellets (velocities in owner's manual are incorrect)",is this a single pump or multiple pumps per shot
What size water bottle does each packet make?,"I use it in a 12 to 14 ounce bottle. I have a ""SodaStream "" and that works the best, it tastes just like the real thing. I can't get ""Squirt"" in my area but this is a perfect substitute. The ""SodaStream"" bottles make about 14 ozs of carbonated water. I would recommend this product and would like to find more at a reasonable price",what size water bottle does each packet make
Can the system be set to stop a loud alarm (about 100 dB?) after about 1/2 min. when I'm not at home?,The only way I have got the alarm function to stop was to hit mute but I imagine it would eventually stop like the alert beeping function does,can the system be set to stop a loud alarm about 100 db after about 12 min when im not at home
is this the newest version,There is also a phantom 2 series that you may want to consider. The good thing about the phantom 1.1.1 is that you can use standard 2200 mA lipo batteries at a fraction of the cost of the DJI phantom two batteries.,is this the newest version
how fast does it shoot,It's fully automatic. Faster than you could pull the trigger. It can empty the clip pretty fast.,how fast does it shoot
Which razor handle does this Derby blade adapt to best? Response requested from those who have tried several razor handles with Derby.,I use them for my bread lame. Cutting the baguettes. I do not shave with these blades. Sorry.,which razor handle does this derby blade adapt to best response requested from those who have tried several razor handles with derby
This phone can be used in Puerto Rico Claro company,Saludos Carlos. en Venezuela Funciona perfectamente. pregunta al vendedor si tienes alguna duda. eso hago antes de comprar.,this phone can be used in puerto rico claro company
Does the charger come with a JST plug or a Tamiya plug?,"This charger has 1 each female jst plug on the right side which accepts 1 cell, 2 cell, 3 cell and 4 cell jst ballancing plug found on most if not all lipo batteries. All my batteries have a jst balancing plug.",does the charger come with a jst plug or a tamiya plug
"Will this lock with the addition of a padlock? Is there a hole for a padlock, I mean?",Yes! But it will take a longer stem on the lock than a traditional padlock.,will this lock with the addition of a padlock is there a hole for a padlock i mean
Can anybody who's given this 4+ stars update about the smell many other reviewers are experiencing with this tray? Thanks!,There was no smell that I ever noticed and I have a very sensitive sense of smell.,can anybody whos given this 4 stars update about the smell many other reviewers are experiencing with this tray thanks
will this work and be stable by just laying it on a flat ground surface near a pond or stream,your better off with a cutting board for the ground it's good on the boat but for a boat I think it would have been better for the pole mount,will this work and be stable by just laying it on a flat ground surface near a pond or stream
I need a 165 inch wide curtian rod. How can I do this with this curtian rod.,"It only goes to 156 inches, so depending on the style of curtain, I guess you could just incorporate 2 smaller ones?",i need a 165 inch wide curtian rod how can i do this with this curtian rod
Will this fit in a Mini Cooper Countryman?,"Yes, it's a very slim profile car seat and fits in our chevy spark. With tons of room.",will this fit in a mini cooper countryman
Does it works with Iphone 3gs 8GB?,"Yes, it worked perfectly for mine. Easy fix, although it's very fine work--tiny screws holding the LCD mounting and the ribbon cables are quite small. Despite those problems, it only took 30-45 minutes.",does it works with iphone 3gs 8gb
Is this machine washable?,"My instructions say to reactivate it you would re-wet, wring out and shake. I use it for racquetball and have only done that and it keeps it without sweat, etc.",is this machine washable
Why do a new unit do not charge it s been plug on the wall for about a month? And it is new.,its probably on automatic and you should not just leave it plugged up test it out and put a small appliance like a radio or something,why do a new unit do not charge it s been plug on the wall for about a month and it is new
Do you get 4 wheels or 8 wheels with each pair? On the roller derby website it says 4 indoor wheels and 4 outdoor wheels. Thank you!,The skates come with 8 wheels that are mounted on already. No extras. Your welcome,do you get 4 wheels or 8 wheels with each pair on the roller derby website it says 4 indoor wheels and 4 outdoor wheels thank you
What about the output from the DVR to the TV? Does it have an HDMI outlet or just a regular AV (RCA) type?,older models RCA--maybe the later one have incorporated HDMI into the system like everyone else,what about the output from the dvr to the tv does it have an hdmi outlet or just a regular av rca type
Will this bag hold a DSLR w/grip?,It should. It has compartments with Velcro fasteners that can be moved around. Be aware-this can become a heavy backpack with gear inside!,will this bag hold a dslr wgrip
Is it compatible with IPhone 5?,It's supposed to be compatible with the iPhone but I'm not sure about the iPhone 5. I got it for my iPad. In any case it really is a piece of junk.,is it compatible with iphone 5
how do I change sounds,"Press the black button on the back to cycle through the sounds. It will play the sound you selected periodically. To turn off, continue cycling through until it beeps twice.",how do i change sounds
what grind setting for expresso,As a Barista for many years this is the best way to answer you...the extraction is a product if 4 factors..1.the dark nest of the roast 2.the grind finest setting...3.the amount of grind in the extraction cup..4.the tamping pressure..Yo will have to balance all 4 to get a good cream..I use Lavazza and my grind setting is 3.5... my cup fills to 3/4 when tamped.I use medium pressure on the tamp..too much and no extraction..too little and tunneling occurs....hope this helps...the fun part is gettingthe perfect balance...enjoy!!!!,what grind setting for expresso
How is drawing on this tablet? I plan to mostly draw on it.,"Sorry. I don't draw on it. It's a fantastic laptop, and I bought it mostly for its size & weight. I almost never use it as a tablet because it takes so little room to open it up and use the full PC functionality.",how is drawing on this tablet i plan to mostly draw on it
Can this machine make quilts?,"Yes, it can sew on quilts. It seems to do most things that a regular sewing machine does except use electricity!",can this machine make quilts
Are week-ends displayed on 2 separate pages? Are Holidays printed in red?,"Hello Donna, the description confirms that saturday and sunday are combined together. It does not confirm if the holidays are printed in red, however the ink color in the description only gives black. thank you",are weekends displayed on 2 separate pages are holidays printed in red
"do standard 13 gal tall kitchen bags work in this trashcan, or must you purchase 10.5 gal bags from simplehuman?",The standard bags will work but they are a few inches short. the company bags are more expensive so just use 13 gallon bags.,do standard 13 gal tall kitchen bags work in this trashcan or must you purchase 105 gal bags from simplehuman
can this be used for both the front and back camera on the iphone 4s?,Never tried or thought of it until you ask the question and I just tried it about 5 minutes ago and it does work both ways. If you have a fish eye lens it makes an ausom selfie.,can this be used for both the front and back camera on the iphone 4s
why did you choose this particular product over the others on the market?,"This was originally offered to me as a trial; when it arrived it was a full size product. At first I didn't think it lived up to its claims, but it just took a little longer than it says to show results, so I decided to continue using it rather than try something else and start over.",why did you choose this particular product over the others on the market
Would an xtra small fit a parakeet?,"I don't own a parakeet... Are they also called budgies? If yes, then I think xsm would be too big as a cockatiel is much bigger than a budgie. But I would question more people as I have never owned parakeets and just going by comparison to pet store birds.",would an xtra small fit a parakeet
Is the measurement marker embossed? Thank you.,"The numbers are raised, although they are very difficult to see when any colored liquid is added. Perhaps the other person who answered this question purchased a different batter bowl.Even with the markings being raised, the are clear and very difficult to see.I had to purchase the Pyrex brand, because the measurements sure clearly written in red and much, much easier to read and I needed exact measurements for preparing homemade yogurt.This one is okay, but I prefer the Pyrex one.",is the measurement marker embossed thank you
If you roast a whole chicken in it will it brown the skin on the outside like a real oven? or does it leave it pale like a slow cooker?,I found that it will leave the skin pale. the chicken is moist but you do not have that golden color We all like.,if you roast a whole chicken in it will it brown the skin on the outside like a real oven or does it leave it pale like a slow cooker
Are these brush heads compatible with the Clarisonic Mia 2?,"I'm not sure Jim. I bought these for my clarisonic, but it's the larger size, not the Mia. They are a much cheaper alternative to the clarisonic brand brush heads.",are these brush heads compatible with the clarisonic mia 2
does it fit car cup holders,Up to at least the 27-oz bottle fits in a normal cup holder. I'm not sure about the 40-oz size.,does it fit car cup holders
what kind of lightbulb does it use? And wattage? Will it take a 40 W lightbulb?,"Only a 15W, 120V Bulb can fit into the space for the bulb.I don't believe they make a 40W bulb that small.Even 15Watt bulb gets pretty hot in there and it is plenty strong.",what kind of lightbulb does it use and wattage will it take a 40 w lightbulb
What specific attachments come with this dryer? I understand there may be three attachments?,"it does come with three, a big round diffuser for curly hair, a comb attachment for either curly or straight hair and then a thinner attachment for drying smaller sections at a time. I have not used any of the attachments to comment on how they work. The dryer works great though.",what specific attachments come with this dryer i understand there may be three attachments
Does the stepper come in the bock fully assembled or do I have to set it up myself?,"It was fully assembled, except for the digital tracker which had to be mounted on it - easy! I LOVE my steeper!!",does the stepper come in the bock fully assembled or do i have to set it up myself
Is it the VGA fit all the laptop,the way I use it is: hdmi part of adapter to my computer then vga part of adapter to a vga cable that attaches to an old screen that just has vga. Works great,is it the vga fit all the laptop
Is the hot air blower detachable / unmountable so I can just use it in my hand like a hair dryer? (Sort of),"Yes. Hot air blower is independent of support arm, which is a dual articulated clam, acting like a hook for the blower. Unit has shipped with a few hot air blower nozzles, various round sizes, and a square shaped one.One can use blower, plate and iron simultaneously on this unit.",is the hot air blower detachable unmountable so i can just use it in my hand like a hair dryer sort of
how do you unfasten the end cap?,"I've never tried, but it does look like there is a slot that a jewelers screwdriver or a really small one would fit into that you should be able to pop it open. I know I have a pair I need to shorten, but I just haven't had the time to do it.Here is their website link, maybe they can help you. http://www.locklaces.com",how do you unfasten the end cap
Can I compress this enough to fit into a carry on suitcase zip compartment?,Not easily done. It is a big pad and the official width of the carry on makes it a tight fit.,can i compress this enough to fit into a carry on suitcase zip compartment
